latitude,longitude,team_id,name
-31.746812,-52.394044,3,"Caixa D'água da Gotuzzo"
-31.755717,-52.359407,2,"Terminal Rodoviário de Pelotas"
-31.752716,-52.335555,1,"Caixa d'Água Brilhante"
-31.725761,-52.34285,2,"Igreja Santo Antônio"
-31.755462,-52.22766,1,"Velas ao Vento"
-31.73615,-52.217232,3,"Comunidade Catolica Nossa Sra. De Lourdes"
-31.761557,-52.336951,2,"Formiga Da Churrascaria Lobão"
-31.775375,-52.342116,3,"Colégio São José"
-31.747722,-52.388811,3,"Igreja Mistérios Da Fé"
-31.773938,-52.341724,1,Graffiti
-31.716684,-52.353969,1,"Clube Esportivo Sousa "
-31.766284,-52.351779,1,"Torre Do Relógio Ifsul Pelotas"
-31.780457,-52.317964,1,"Gruta À Nossa Mãe Iemanja "
-31.755471,-52.319397,1,"Gruta Da Baronesa"
-31.77473,-52.353131,3,"Castelo Simões Lopes"
-31.766191,-52.345637,1,"Caixa D'agua da Praça"
-31.752939,-52.242399,1,"Graffiti Do Trem"
-31.765834,-52.34602,1,"Dr Nunes Vieira"
-31.751961,-52.383378,1,"Igreja Luterana Comunidade Emanuel"
-31.719521,-52.34773,3,"Igreja Sao Francisco De Assis "
-31.77,-52.342085,1,"Bibliotheca Pública Pelotense"
-31.765994,-52.345289,0,"Monumento a Joao Da Silva Silveira"
-31.770725,-52.342845,2,"Mercado Público"
-31.744982,-52.294506,1,"Pracinha Alfredo Pujol "
-31.720644,-52.35311,1,"Igreja Do Senhor"
-31.763889,-52.338142,2,"Catedral Sao Francisco De Paula"
-31.747716,-52.292322,1,"Monumento Cacimba Da Nação"
-31.722343,-52.351434,1,"Igreja O Brasil Para Cristo"
-31.776712,-52.338761,3,"Igreja do Porto"
-31.757242,-52.380196,1,"Igreja Evangélica Da Mensagem"
-31.759439,-52.338414,3,"Portal da Academia de Letras"
-31.768549,-52.338229,2,"Arte de Rua Paisagem Submarina"
-31.75818,-52.367574,1,"Igreja De Jesus Cristo "
-31.734095,-52.344594,2,"Grafite Engenho Sao Paulo"
-31.764612,-52.227663,3,"Centro de Treinamento Público "
-31.754634,-52.31826,2,"Igreja Dos Santos Dos Últimos Dias"
-31.74119,-52.386915,1,"Praça Stonehenge I"
-31.741878,-52.388808,3,"Centro Comunitário"
-31.696073,-52.339729,2,"Sociedade Recreativa 15 De Julho"
