,gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
0,1c440df2f085444caa360d06a63e49a0.16,8413441292204912495,2018-02-20 18:51:24,2018-02-20 11:51:23,387
1,0286ca0efb62481780795316aa2f0e43.16,1787952675709776347,2018-02-20 21:52:54,2018-02-20 21:51:24,2284
2,0286ca0efb62481780795316aa2f0e43.16,16020039733266910032,2018-02-20 21:52:54,2018-02-20 17:53:09,2818
3,eef58c8b131e4e0b842611a1850e63dc.16,11387516250996232088,2018-02-20 22:11:50,2018-02-20 10:59:49,2758
4,eef58c8b131e4e0b842611a1850e63dc.16,4170197431365336518,2018-02-20 22:11:50,2018-02-20 10:58:40,3274
5,eef58c8b131e4e0b842611a1850e63dc.16,11348130256476146221,2018-02-20 22:11:50,2018-02-19 22:05:31,27
6,eef58c8b131e4e0b842611a1850e63dc.16,17038082653645994082,2018-02-20 22:11:50,2018-02-19 22:02:11,48
7,eef58c8b131e4e0b842611a1850e63dc.16,16448448306243748707,2018-02-20 22:11:50,2018-02-19 21:27:04,1027
8,eef58c8b131e4e0b842611a1850e63dc.16,254849204195267124,2018-02-20 22:11:50,2018-02-19 21:26:43,3148
9,fa2de6cfbf9848c3a10469df48636f4d.16,1651412966062052387,2018-02-20 22:26:26,2018-02-20 22:25:49,2650
10,fa2de6cfbf9848c3a10469df48636f4d.16,17216980289276341858,2018-02-20 22:26:26,2018-02-20 22:24:45,2389
11,e50a42dcb9084addbdcb9a50b2fdad09.16,17832237110090071152,2018-02-20 22:46:50,2018-02-20 15:08:22,2383
12,e50a42dcb9084addbdcb9a50b2fdad09.16,9699142379512631689,2018-02-20 22:46:50,2018-02-20 10:56:31,2702
13,e50a42dcb9084addbdcb9a50b2fdad09.16,257207466650699414,2018-02-20 22:46:50,2018-02-20 10:55:43,3738
14,e50a42dcb9084addbdcb9a50b2fdad09.16,13681782272171725482,2018-02-20 22:46:50,2018-02-19 21:23:44,2981
15,e50a42dcb9084addbdcb9a50b2fdad09.16,6404814912463324756,2018-02-20 22:46:50,2018-02-19 21:23:15,2964
16,255644e5b50a42eca13c77250436029f.16,16884462424561016798,2018-02-20 23:03:21,2018-02-20 22:59:43,2686
17,940fb99da7db4023bcbe9d98b2ff98cd.16,13445117967628872862,2018-02-20 23:13:47,2018-02-20 22:29:56,1927
18,940fb99da7db4023bcbe9d98b2ff98cd.16,3910639530264531189,2018-02-20 23:13:47,2018-02-20 21:31:11,2443
19,940fb99da7db4023bcbe9d98b2ff98cd.16,16736699337121393135,2018-02-20 23:13:47,2018-02-20 21:31:11,2541
20,940fb99da7db4023bcbe9d98b2ff98cd.16,13093238960777441941,2018-02-20 23:13:47,2018-02-20 21:31:10,2259
21,940fb99da7db4023bcbe9d98b2ff98cd.16,3126185647736653297,2018-02-20 23:13:47,2018-02-20 20:33:32,747
22,940fb99da7db4023bcbe9d98b2ff98cd.16,3397680374445402876,2018-02-20 23:13:47,2018-02-20 20:33:14,2108
23,2f60c7bc597643e08041dabecc4a16a2.16,5903286715366396304,2018-02-20 23:15:43,2018-02-20 18:11:39,81
24,2f60c7bc597643e08041dabecc4a16a2.16,4548934365248791140,2018-02-20 23:15:43,2018-02-20 18:01:33,3052
25,2f60c7bc597643e08041dabecc4a16a2.16,15695965788234183504,2018-02-20 23:15:43,2018-02-20 17:47:38,1317
26,2f60c7bc597643e08041dabecc4a16a2.16,8307068021281303290,2018-02-20 23:15:43,2018-02-20 16:42:03,1766
27,2f60c7bc597643e08041dabecc4a16a2.16,13624785169457492959,2018-02-20 23:15:43,2018-02-20 16:40:44,2494
28,2f60c7bc597643e08041dabecc4a16a2.16,10164107892920587770,2018-02-20 23:15:43,2018-02-20 16:40:36,2351
29,33fc9aa44c844314a85d60df2a1194d8.16,4696585075928793102,2018-02-21 00:19:49,2018-02-21 00:13:34,3284
30,33fc9aa44c844314a85d60df2a1194d8.16,5706499208312643053,2018-02-21 00:19:49,2018-02-20 22:25:44,2163
31,33fc9aa44c844314a85d60df2a1194d8.16,5322522399565497918,2018-02-21 00:19:49,2018-02-20 09:03:23,1101
32,828db0e5a523405987aa8d6c4c247e0d.16,15585776384061292729,2018-02-21 00:25:14,2018-02-21 00:24:16,2859
33,241618fc3fd847eab588c938b9b03f25.16,10149928270117180699,2018-02-21 00:31:04,2018-02-19 05:23:12,2046
34,241618fc3fd847eab588c938b9b03f25.16,7334888142298813572,2018-02-21 00:31:04,2018-02-19 05:21:43,2584
35,241618fc3fd847eab588c938b9b03f25.16,13629657083860886088,2018-02-21 00:31:04,2018-02-19 03:17:50,2242
36,241618fc3fd847eab588c938b9b03f25.16,5339519900789061515,2018-02-21 00:31:04,2018-02-19 03:12:35,3398
37,241618fc3fd847eab588c938b9b03f25.16,18188310893132105145,2018-02-21 00:31:04,2018-02-19 00:34:40,1246
38,241618fc3fd847eab588c938b9b03f25.16,14435612697664970218,2018-02-21 00:31:04,2018-02-19 00:31:25,2795
39,2ec6849344d94a348d35933db85fccc9.16,4972536273494355501,2018-02-21 00:33:39,2018-02-21 00:32:53,4053
40,38f2d91409bd4d01a2eb458673dcefe9.16,14353217133287288155,2018-02-21 00:49:31,2018-02-21 00:48:31,2828
41,72985951ba674deba9326ab9eda56760.16,2023425146210891238,2018-02-21 00:51:19,2018-02-20 22:27:27,2188
42,72985951ba674deba9326ab9eda56760.16,15366981047415638658,2018-02-21 00:51:19,2018-02-20 21:29:21,2471
43,72985951ba674deba9326ab9eda56760.16,5282018819344761759,2018-02-21 00:51:19,2018-02-20 21:28:06,2614
44,72985951ba674deba9326ab9eda56760.16,12379241118570276562,2018-02-21 00:51:19,2018-02-20 21:28:05,2717
45,72985951ba674deba9326ab9eda56760.16,15485347534707590139,2018-02-21 00:51:19,2018-02-20 20:41:40,800
46,72985951ba674deba9326ab9eda56760.16,3607594906217211684,2018-02-21 00:51:19,2018-02-20 20:41:07,2941
47,2339f669b7b14ea9800b9df89eb46694.16,3185246924978983908,2018-02-21 01:16:24,2018-02-21 01:15:03,2819
48,2339f669b7b14ea9800b9df89eb46694.16,3352497661613335446,2018-02-21 01:16:24,2018-02-21 01:14:56,3217
49,0c6793e0753d4a91b4c5b5918d8a743f.11,15588673730914096771,2018-02-21 01:17:08,2018-02-21 01:11:55,2715
50,0c6793e0753d4a91b4c5b5918d8a743f.11,13042380062847929973,2018-02-21 01:17:08,2018-02-20 22:43:09,2372
51,0c6793e0753d4a91b4c5b5918d8a743f.11,4322377451516293800,2018-02-21 01:17:08,2018-02-20 22:43:08,2982
52,bdb5cf52a8644857844ac5af7e6e1ffc.16,5333099302931896515,2018-02-21 01:17:38,2018-02-20 10:49:07,1575
53,bdb5cf52a8644857844ac5af7e6e1ffc.16,10555465999621796612,2018-02-21 01:17:38,2018-02-20 10:45:28,92
54,1082da773a3f4d30b5de4ded03d55422.16,2832666821740010290,2018-02-21 01:23:13,2018-02-21 01:22:23,2668
55,1082da773a3f4d30b5de4ded03d55422.16,14897829619022591945,2018-02-21 01:23:13,2018-02-21 01:16:35,2604
56,1082da773a3f4d30b5de4ded03d55422.16,8903258106641012820,2018-02-21 01:23:13,2018-02-20 22:33:31,1699
57,1082da773a3f4d30b5de4ded03d55422.16,16334656649685640701,2018-02-21 01:23:13,2018-02-20 21:52:53,2551
58,0471fd54e26349cbb805a9e7ff4772b8.16,17629439955744518025,2018-02-21 01:43:20,2018-02-21 01:43:08,1986
59,b0bc2da4492948e9a63b374841c94882.11,15667766742176368845,2018-02-21 01:45:08,2018-02-21 01:44:48,3203
60,b0bc2da4492948e9a63b374841c94882.11,1424612980517586313,2018-02-21 01:45:08,2018-02-21 01:37:55,2546
61,b0bc2da4492948e9a63b374841c94882.11,4997751591836581662,2018-02-21 01:45:08,2018-02-21 01:17:18,2717
62,b0bc2da4492948e9a63b374841c94882.11,16047918801461965387,2018-02-21 01:45:08,2018-02-21 01:17:06,2212
63,b80bbf223db04faa8b0122c45683942c.16,6537631278543138130,2018-02-21 01:55:16,2018-02-21 01:54:05,2733
64,b80bbf223db04faa8b0122c45683942c.16,1741109805392177106,2018-02-21 01:55:16,2018-02-21 01:51:47,31
65,2c36739bd6be4effb2d28dcf1da246cc.16,877277663478053326,2018-02-21 01:57:53,2018-02-21 00:52:02,9
66,2c36739bd6be4effb2d28dcf1da246cc.16,4324521441499993214,2018-02-21 01:57:53,2018-02-21 00:33:25,1528
67,2c36739bd6be4effb2d28dcf1da246cc.16,10331108298493522824,2018-02-21 01:57:53,2018-02-21 00:13:05,1702
68,2c36739bd6be4effb2d28dcf1da246cc.16,12562905557164292360,2018-02-21 01:57:53,2018-02-20 23:15:25,2761
69,40ac99e1bc6a420dbaf6722b2608dba5.16,3126490199013695624,2018-02-21 01:59:53,2018-02-20 23:47:45,3220
70,40ac99e1bc6a420dbaf6722b2608dba5.16,4136776005313146732,2018-02-21 01:59:53,2018-02-20 21:42:02,2402
71,40ac99e1bc6a420dbaf6722b2608dba5.16,17384247772874802481,2018-02-21 01:59:53,2018-02-20 21:38:04,2837
72,d32a4483829c46bfabe6c32e6993f3ae.16,4597152564161521735,2018-02-21 02:00:23,2018-02-20 22:10:18,2036
73,d32a4483829c46bfabe6c32e6993f3ae.16,4292471170211724339,2018-02-21 02:00:23,2018-02-20 17:28:07,1941
74,d32a4483829c46bfabe6c32e6993f3ae.16,8913424781452152089,2018-02-21 02:00:23,2018-02-20 12:16:51,796
75,d32a4483829c46bfabe6c32e6993f3ae.16,8532302645118723936,2018-02-21 02:00:23,2018-02-20 11:15:38,560
76,d32a4483829c46bfabe6c32e6993f3ae.16,9751791236507632723,2018-02-21 02:00:23,2018-02-19 22:14:16,509
77,d32a4483829c46bfabe6c32e6993f3ae.16,15671853231750803982,2018-02-21 02:00:23,2018-02-19 22:13:54,795
78,adcc7f12b03445a9b3e10a01ca7e4ded.16,248774439774668945,2018-02-21 02:00:28,2018-02-20 22:27:54,2470
79,adcc7f12b03445a9b3e10a01ca7e4ded.16,1261924777283558437,2018-02-21 02:00:28,2018-02-20 22:22:18,2901
80,60e877cc2e2147b4be49f6e12478df3c.16,6486975145598499058,2018-02-21 02:01:50,2018-02-20 21:21:37,1210
81,60e877cc2e2147b4be49f6e12478df3c.16,896534067791554216,2018-02-21 02:01:50,2018-02-20 21:13:03,2091
82,60e877cc2e2147b4be49f6e12478df3c.16,9280563519937834277,2018-02-21 02:01:50,2018-02-20 20:33:48,765
83,60e877cc2e2147b4be49f6e12478df3c.16,7599397430955228795,2018-02-21 02:01:50,2018-02-20 20:22:06,1647
84,60e877cc2e2147b4be49f6e12478df3c.16,9280174001953288467,2018-02-21 02:01:50,2018-02-20 20:19:53,1624
85,60e877cc2e2147b4be49f6e12478df3c.16,16184914487856038194,2018-02-21 02:01:50,2018-02-20 20:05:36,1346
86,a418d8928bc942658c287c47a125adcf.16,5202527321934148019,2018-02-21 02:04:17,2018-02-20 23:20:19,676
87,a418d8928bc942658c287c47a125adcf.16,15169336596340386938,2018-02-21 02:04:17,2018-02-20 19:07:51,1817
88,a418d8928bc942658c287c47a125adcf.16,10403193068452619074,2018-02-21 02:04:17,2018-02-20 12:18:48,2708
89,a418d8928bc942658c287c47a125adcf.16,15907984216666363221,2018-02-21 02:04:17,2018-02-20 09:44:34,797
90,a418d8928bc942658c287c47a125adcf.16,10861002096599313792,2018-02-21 02:04:17,2018-02-20 01:22:17,1838
91,a418d8928bc942658c287c47a125adcf.16,11830468255883823460,2018-02-21 02:04:17,2018-02-20 01:22:14,1442
92,a95b698c72ec494e86b2cb8ebdcbf0c5.16,11902604816119235628,2018-02-21 02:08:44,2018-02-20 22:48:14,1859
93,a95b698c72ec494e86b2cb8ebdcbf0c5.16,13657467194228587787,2018-02-21 02:08:44,2018-02-20 22:47:57,2328
94,a95b698c72ec494e86b2cb8ebdcbf0c5.16,16502959274979727126,2018-02-21 02:08:44,2018-02-20 21:54:57,1556
95,a95b698c72ec494e86b2cb8ebdcbf0c5.16,4685218478493293603,2018-02-21 02:08:44,2018-02-20 21:54:38,1571
96,a95b698c72ec494e86b2cb8ebdcbf0c5.16,15552072108689115838,2018-02-21 02:08:44,2018-02-20 21:54:38,1056
97,a95b698c72ec494e86b2cb8ebdcbf0c5.16,10000445520048078833,2018-02-21 02:08:44,2018-02-20 21:44:58,1062
98,d7c4c6813ad5494d823bba29bc3bae80.16,13053425909915786450,2018-02-21 02:08:46,2018-02-20 19:22:20,1841
99,56655857450a468ca7875eb35ac86ee2.16,6304965785178849381,2018-02-21 02:11:38,2018-02-20 20:54:13,1783
100,56655857450a468ca7875eb35ac86ee2.16,10786435737108247867,2018-02-21 02:11:38,2018-02-20 20:31:17,1771
101,56655857450a468ca7875eb35ac86ee2.16,5370964000605112378,2018-02-21 02:11:38,2018-02-20 19:49:01,1805
102,56655857450a468ca7875eb35ac86ee2.16,13617029589440601513,2018-02-21 02:11:38,2018-02-20 19:11:50,2017
103,56655857450a468ca7875eb35ac86ee2.16,4229741579844471254,2018-02-21 02:11:38,2018-02-20 17:17:15,1837
104,56655857450a468ca7875eb35ac86ee2.16,16336116833595910438,2018-02-21 02:11:38,2018-02-20 16:42:59,1757
105,3e7231af60ba4ba29a675c055406b46b.16,11697915889250238723,2018-02-21 02:13:43,2018-02-20 21:11:57,4318
106,3e7231af60ba4ba29a675c055406b46b.16,6608038851669192291,2018-02-21 02:13:43,2018-02-20 21:07:37,2513
107,3e7231af60ba4ba29a675c055406b46b.16,614057178584591496,2018-02-21 02:13:43,2018-02-20 21:00:05,3104
108,3e7231af60ba4ba29a675c055406b46b.16,3618657964938240586,2018-02-21 02:13:43,2018-02-20 20:53:17,2607
109,3e7231af60ba4ba29a675c055406b46b.16,9338061799905746381,2018-02-21 02:13:43,2018-02-20 20:51:42,2938
110,3e7231af60ba4ba29a675c055406b46b.16,2153265164287205503,2018-02-21 02:13:43,2018-02-20 20:47:09,2931
111,355fa2dfe4274ca68cb8a8822aaac1a8.16,4604505486247214118,2018-02-21 02:14:09,2018-02-21 01:38:54,162
112,355fa2dfe4274ca68cb8a8822aaac1a8.16,12390692024608760769,2018-02-21 02:14:09,2018-02-21 01:38:08,1335
113,355fa2dfe4274ca68cb8a8822aaac1a8.16,5302196958598664774,2018-02-21 02:14:09,2018-02-21 01:38:04,1334
114,355fa2dfe4274ca68cb8a8822aaac1a8.16,3277460470084683578,2018-02-21 02:14:09,2018-02-21 00:27:35,7
115,355fa2dfe4274ca68cb8a8822aaac1a8.16,734777199423072516,2018-02-21 02:14:09,2018-02-21 00:26:59,1075
116,355fa2dfe4274ca68cb8a8822aaac1a8.16,15001821682760081482,2018-02-21 02:14:09,2018-02-21 00:13:25,1236
117,49096f45a26e4e53938248cf6c37ad03.16,1994852246315413527,2018-02-21 02:19:43,2018-02-20 21:48:51,1006
118,49096f45a26e4e53938248cf6c37ad03.16,11066001040963714754,2018-02-21 02:19:43,2018-02-20 21:07:16,2341
119,49096f45a26e4e53938248cf6c37ad03.16,439861071813852569,2018-02-21 02:19:43,2018-02-20 19:58:52,131
120,49096f45a26e4e53938248cf6c37ad03.16,2472851967951467661,2018-02-21 02:19:43,2018-02-20 19:35:56,901
121,49096f45a26e4e53938248cf6c37ad03.16,5721812830765859129,2018-02-21 02:19:43,2018-02-20 19:34:55,2663
